"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp"
3281,543037,"Cole, Gerrit",3281,100,0.207,0.116,0.263,0.322,0.256,0.289,0.233,157,760,88.9,14.4,2432,92.6,92.45,428,1643,1638,-0.09999999999999432,6.29,112,149,118,151,298,329,289,"44.6","-44.6"
3262,656302,"Cease, Dylan",3262,100,0.25,0.155,0.331,0.405,0.321,0.313,0.241,172,689,89.6,15,2619,89,89.07,468,1511,1751,0.09999999999999432,6.3,110,149,114,148,297,323,297,"-4.5","4.5"
3248,668678,"Gallen, Zac",3248,100,0.239,0.145,0.301,0.383,0.289,0.315,0.255,188,788,91.3,12.2,2235,89.5,89.97,403,1533,1715,0.5,6.59,111,149,118,149,300,318,295,"26.1","-26.1"
3207,622491,"Castillo, Luis",3207,100,0.218,0.177,0.268,0.395,0.289,0.302,0.23,160,735,89.6,15.5,2206,92.6,91.34,511,1670,1537,-1.2999999999999972,5.56,113,147,118,148,291,320,300,"18.9","-18.9"
3197,571945,"Mikolas, Miles",3197,100,0.282,0.172,0.309,0.454,0.33,0.354,0.291,226,802,90.2,14.9,2279,87.5,87.67,265,1590,1607,0.20000000000000284,6.4,113,148,117,148,301,318,300,"-6.2","6.2"
3190,608337,"Giolito, Lucas",3190,100,0.24,0.243,0.275,0.483,0.339,0.329,0.24,169,704,89.1,18.4,1943,86.8,87.67,430,1492,1698,0.9000000000000057,6.8,111,149,116,148,298,323,296,"-17.1","17.1"
3182,657277,"Webb, Logan",3182,100,0.248,0.126,0.303,0.374,0.283,0.295,0.255,201,811,90.3,0.4,1855,88.6,89.73,312,1507,1675,1.1000000000000085,6.96,112,149,117,150,298,327,299,"26","-26"
3168,605483,"Snell, Blake",3168,100,0.181,0.105,0.256,0.286,0.266,0.3,0.208,115,636,87.2,10.6,2296,90.1,90.77,507,1359,1809,0.7000000000000028,6.88,109,151,119,148,299,321,291,"43.8","-43.8"
3167,458681,"Lynn, Lance",3167,100,0.26,0.225,0.292,0.485,0.348,0.338,0.252,189,728,88,16.8,2403,89.5,89.94,455,1586,1581,0.4000000000000057,6.56,112,149,118,150,296,320,298,"-29.9","29.9"
3155,554430,"Wheeler, Zack",3155,100,0.229,0.135,0.292,0.364,0.278,0.278,0.23,168,733,86.6,14.2,2516,91.9,93.42,463,1617,1538,1.5,7.17,113,148,115,149,293,323,293,"20","-20"
3139,605135,"Bassitt, Chris",3139,100,0.235,0.168,0.274,0.404,0.304,0.31,0.242,176,748,86.9,12.5,2134,85.6,85.46,325,1485,1654,-0.09999999999999432,6.31,109,149,120,148,289,324,287,"9.8","-9.8"
3119,656605,"Keller, Mitch",3119,100,0.249,0.156,0.31,0.404,0.31,0.315,0.251,187,752,87.4,10.2,2454,90.1,90.48,346,1490,1629,0.4000000000000057,6.54,110,149,114,150,298,320,296,"4","-4"
3099,675911,"Strider, Spencer",3100,100,0.21,0.145,0.316,0.355,0.279,0.273,0.205,146,696,88.4,16.9,2349,92.6,93.78,635,1644,1455,1.2000000000000028,7.05,113,149,120,150,306,325,303,"15.3","-15.3"
3087,605400,"Nola, Aaron",3087,100,0.241,0.186,0.286,0.427,0.304,0.3,0.241,178,738,89,12.4,2283,87,87.74,395,1522,1565,0.7000000000000028,6.84,114,147,116,149,293,323,295,"-2.5","2.5"
3079,669203,"Burnes, Corbin",3079,100,0.2,0.124,0.244,0.324,0.266,0.285,0.224,141,704,86.2,10.5,2617,90.7,91.34,409,1425,1654,0.5999999999999943,6.57,112,149,117,148,298,323,295,"24.7","-24.7"
3069,592332,"Gausman, Kevin",3069,100,0.233,0.146,0.324,0.379,0.292,0.303,0.235,163,700,88.9,12,2085,90.3,90.48,438,1513,1556,0.20000000000000284,6.58,110,149,120,148,290,327,288,"17.4","-17.4"
3038,502043,"Gibson, Kyle",3038,100,0.27,0.167,0.311,0.437,0.326,0.335,0.27,198,732,89.1,7.9,2191,87.6,88.35,350,1384,1654,0.7000000000000028,6.88,110,148,116,148,298,323,295,"0.6","-0.6"
